date,close,volume,open,high,low
11/6/2017,187.84,19834840,184.07,188.25,184
11/3/2017,183.21,19670240,186.51,186.93,182.06
11/2/2017,184.81,41199480,190.99,191.22,183.31
11/1/2017,186.08,28214690,187.88,188.88,183.58
10/31/2017,184.89,21180680,183.57,185.12,181.811
10/30/2017,181.58,20187930,178.43,181.9,177.59
10/27/2017,176.15,19674110,173.19,177,171.11
10/26/2017,170.32,13422500,170.62,171.45,168.58
10/25/2017,170.22,18091890,174.69,175.44,169.3
10/24/2017,173.7,11911310,174,175.98,173.26
10/23/2017,173.13,17588820,177.8,178.0098,173.05
10/20/2017,177.32,11939510,179.02,179.52,177.08
10/19/2017,177.93,13447490,177.001,179.61,175.45
10/18/2017,179.61,21745600,177.09,180,176.28
10/17/2017,175.32,20104080,179.58,180.12,175.3
10/16/2017,179.56,12839030,180,180.05,178.51
10/13/2017,178.45,18098990,180.96,181.4,177.97
10/12/2017,180.53,15426700,184.04,184.39,180.3478
10/11/2017,184.69,11944840,183,184.7,182.6005
10/10/2017,183.12,13182770,181.65,184.46,181.36
10/9/2017,182.09,14992900,178.97,183.1322,178.75
10/6/2017,179.2,8732723,177.85,179.87,177.61
10/5/2017,178.89,11879930,179,179.73,176.03
10/4/2017,178.71,11413220,178.06,180,177.3
10/3/2017,178.56,15145420,176.06,178.78,173.61
10/2/2017,173.61,12551290,174.57,175.13,172.57
9/29/2017,172.71,13382620,171.11,173.54,170.74
9/28/2017,170.24,13944110,170.91,171.88,169.5667
9/27/2017,170.99,19401440,169.84,171.95,169.45
9/26/2017,167.02,23665000,170.01,171.9,166.79
9/25/2017,169.59,33999860,176.48,177,167.5
9/22/2017,178.14,12736970,176.2,178.42,175.68
9/21/2017,177.39,14568150,178.05,178.8611,175.3
9/20/2017,177.95,15379730,180.02,180.5,176.151
9/19/2017,180.07,14735480,180.69,180.87,179.25
9/18/2017,179.98,22587620,178.89,180.29,177.75
9/15/2017,176.7,26554710,177.9,179.75,176.7
9/14/2017,177.1,22763010,177.54,179.93,176.02
9/13/2017,178.97,21960190,175.75,179.1,175.56
9/12/2017,175.31,15606930,174.89,175.62,173.37
9/11/2017,174.06,18224880,171.5,174.2,171.5
9/8/2017,169,12337480,169.99,171.22,168.92
9/7/2017,170.48,15061590,169.26,170.97,168
9/6/2017,168.14,19956480,170.17,171.11,167
9/5/2017,169.92,14956400,169.47,171.93,168.7378
9/1/2017,171.04,11155170,171.99,172.3863,170.65
8/31/2017,171.74,16471180,172.54,172.9,170.25
8/30/2017,171.25,17736920,169.15,172.39,169.15
8/29/2017,167.41,19560760,165.15,169.23,164.35
8/28/2017,168.3,24395950,171.15,171.34,167.06
8/25/2017,171.74,24132130,174.8,174.94,171.11
8/24/2017,175,20757320,177,177,174.3
8/23/2017,175.8,21907920,172.9,176.23,172.75
8/22/2017,174.46,24427590,170.02,174.77,169.64
8/21/2017,169.25,22317510,168.29,170.6,166.98
8/18/2017,167.5,31463720,165.36,169.5,164.1
8/17/2017,163.92,56786950,166.12,168,163.51
8/16/2017,159.5,21192550,160,160.35,158.535
8/15/2017,157.75,18606600,155.74,158.32,154
8/14/2017,154.61,14567530,154.77,155.08,153.1
8/11/2017,151.7,22296070,150.51,152.57,147.5
8/10/2017,151.77,18931260,156.2,156.5,151.25
8/9/2017,157.49,10994800,156.05,157.71,155.2
8/8/2017,157.5,15413790,158.56,159.84,156.8
8/7/2017,158.84,15873550,154.83,158.99,154.37
8/4/2017,153.33,10023700,154.32,154.32,152.16
8/3/2017,153.32,12412750,152.1,153.8,149.6
8/2/2017,151.91,19494160,155.47,155.75,149.1
8/1/2017,154.73,11976760,156.25,156.61,153.8
7/31/2017,154.95,17750860,158.9,159.39,153.5
7/28/2017,157.56,14438300,153.96,158.96,152.82
7/27/2017,154.15,26027590,157.85,160.39,151.33
7/26/2017,155.79,14425820,152.53,156,152.36
7/25/2017,152.44,8447232,152.36,152.75,150.85
7/24/2017,152.26,10630370,152.77,153.23,151.6
7/21/2017,151.89,11441250,151.79,152.15,150.31
7/20/2017,152.11,16606860,153.96,154.12,151.84
7/19/2017,153.15,16776380,155.14,156.41,152.64
7/18/2017,153.75,15292620,151.08,154.6,150.48
7/17/2017,151.23,15317140,153.53,153.7,150.42
7/14/2017,151.83,11459670,150.12,152.25,149.69
7/13/2017,149.52,11672540,149.52,150,148
7/12/2017,149,14940130,147.38,149.3,146.85
7/11/2017,145.81,13507130,144.29,145.87,143.26
7/10/2017,143.81,10334210,143,144.16,142.25
7/7/2017,142.43,8034802,142.65,143.3785,141.831
7/6/2017,142.2,11918460,143.01,143.62,141.83
7/5/2017,144.87,16969000,141.16,145,140.33
7/3/2017,140.99,6975712,141.75,142.49,139.495
6/30/2017,140.9,12267040,141.03,142.38,139.92
6/29/2017,140.81,24112460,143.16,143.56,137.52
